t	accent	blue	tile
13.25	3787	0	365642
13.30	3787	0	365642
13.35	3787	0	365642
13.40	3787	0	365642
13.45	3787	0	365642
13.50	3787	0	365644
13.55	3787	0	365644
13.60	3787	0	365644
13.65	3787	0	365644
13.70	3787	0	365644
13.75	3786	0	365642
13.80	3786	0	365642
13.85	3786	0	365642
13.90	3786	0	365642
13.95	3806	0	365645
14.00	3812	0	365645
14.05	3812	0	365645
14.10	3812	0	365645
14.15	3812	0	365645
14.20	3812	0	365645
14.25	3811	0	365645
14.30	3811	0	365645
14.35	3811	0	365645
14.40	3811	0	365645
14.45	3811	0	365645
14.50	3811	0	365645
14.55	3811	0	365645
14.60	3811	0	365645
14.65	3811	0	365645
14.70	3811	0	365645
14.75	3809	0	365644
14.80	3809	0	365644
14.85	3809	0	365644
14.90	3809	0	365644
14.95	3809	0	365644
15.00	3809	0	365644
15.05	3809	0	365644
15.10	3809	0	365644
15.15	3809	0	365644
15.20	3809	0	365644
15.25	3809	0	365644
15.30	3809	0	365644
15.35	3809	0	365644
15.40	3809	0	365644
15.45	3809	0	365644
15.50	3809	0	365644
15.55	3809	0	365644
15.60	3809	0	365644
15.65	3809	0	365644
15.70	3809	0	365644
15.75	3809	0	365644
15.80	3809	0	365644
15.85	3809	0	365644
15.90	3809	0	365644
15.95	3809	0	365644
16.00	3809	0	365644
16.05	3809	0	365644
16.10	3809	0	365644
16.15	3809	0	365644
16.20	3809	0	365644
16.25	3809	0	365644
16.30	3809	0	365644
16.35	3809	0	365644
16.40	3809	0	365644
16.45	3809	0	365644
16.50	3809	0	365644
16.55	3809	0	365644
16.60	3809	0	365644
16.65	3809	0	365644
16.70	3809	0	365644
16.75	3809	0	365644
16.80	3809	0	365644
16.85	3809	0	365644
16.90	3809	0	365644
16.95	3809	0	365644
17.00	3809	0	365644
17.05	3809	0	365644
17.10	3809	0	365644
17.15	3809	0	365644
17.20	3809	0	365644
17.25	3809	0	365644
17.30	3809	0	365644
17.35	3809	0	365644
17.40	3809	0	365644
17.45	3809	0	365644
17.50	3809	0	365644
17.55	3809	0	365644
17.60	3809	0	365644
17.65	3809	0	365644
17.70	3809	0	365644
17.75	3809	0	365644
17.80	3809	0	365644
17.85	3809	0	365644
17.90	3809	0	365644
17.95	3809	0	365644
18.00	3809	0	365644
18.05	3809	0	365644
18.10	3809	0	365644
18.15	3809	0	365644
18.20	3809	0	365644
18.25	3809	0	365644
18.30	3809	0	365644
18.35	3809	0	365644
18.40	3809	0	365644
18.45	3809	0	365644
18.50	3809	0	365644
18.55	3809	0	365644
18.60	3809	0	365644
18.65	3809	0	365644
18.70	3809	0	365644
18.75	3809	0	365644
18.80	3809	0	365644
18.85	3809	0	365644
18.90	3809	0	365644
18.95	3809	0	365644
19.00	3809	0	365644
19.05	3809	0	365644
19.10	3809	0	365644
19.15	3809	0	365644
19.20	3809	0	365644
19.25	3809	0	365644
19.30	3809	0	365644
19.35	3809	0	365644
19.40	3809	0	365644
19.45	3809	0	365644
19.50	3809	0	365644
19.55	3809	0	365644
19.60	3809	0	365644
19.65	3809	0	365644
19.70	3809	0	365644
19.75	3809	0	365644
19.80	3809	0	365644
19.85	3809	0	365644
19.90	3809	0	365644
19.95	3809	0	365644
20.00	3809	0	365644
20.05	3809	0	365644
20.10	3809	0	365644
20.15	3809	0	365644
20.20	3809	0	365644
20.25	3809	0	365644
20.30	3809	0	365644
20.35	3809	0	365644
20.40	3809	0	365644
20.45	3809	0	365644
20.50	3809	0	365644
20.55	3809	0	365644
20.60	3809	0	365644
20.65	3809	0	365644
20.70	3809	0	365644
20.75	3809	0	365644
20.80	3809	0	365644
20.85	3809	0	365644
20.90	3809	0	365644
20.95	3809	0	365644
21.00	3809	0	365644
21.05	3809	0	365644
21.10	3809	0	365644
21.15	3809	0	365644
21.20	3809	0	365644
21.25	0	1753	268727
21.30	0	1753	268727
21.35	0	1753	268726
21.40	0	1753	268726
21.45	0	1753	269227
21.50	0	1753	269227
21.55	0	0	264011
21.60	0	0	264011
21.65	3762	0	365625
21.70	3762	0	365625
21.75	3762	0	365625
21.80	3762	0	365625
21.85	3762	0	365625
21.90	3787	0	365641
21.95	3787	0	365641
22.00	3787	0	365641
22.05	3787	0	365641
22.10	3787	0	365641
22.15	3784	0	365640
22.20	3784	0	365640
22.25	3784	0	365640
22.30	3784	0	365640
22.35	3784	0	365640
22.40	3785	0	365640
22.45	3785	0	365640
22.50	3785	0	365640
22.55	3785	0	365640
22.60	3806	0	365645
22.65	3806	0	365645
22.70	3812	0	365645
22.75	3812	0	365645
22.80	3811	0	365645
22.85	3811	0	365645
22.90	3811	0	365645
22.95	3811	0	365645
23.00	3811	0	365645
23.05	3811	0	365645
23.10	3811	0	365645
23.15	3811	0	365645
23.20	3809	0	365644
23.25	3809	0	365644
23.30	3809	0	365644
23.35	3809	0	365644
23.40	3809	0	365644
23.45	3809	0	365644
23.50	3809	0	365644
23.55	3809	0	365644
23.60	3809	0	365644
23.65	3809	0	365644
23.70	3809	0	365644
23.75	3809	0	365644
23.80	3809	0	365644
23.85	3809	0	365644
23.90	3809	0	365644
23.95	3809	0	365644
24.00	3809	0	365644
24.05	3809	0	365644
24.10	3809	0	365644
24.15	3809	0	365644
24.20	3809	0	365644
24.25	3809	0	365644
24.30	3809	0	365644
24.35	3809	0	365644
24.40	3809	0	365644
24.45	3809	0	365644
24.50	3809	0	365644
24.55	3809	0	365644
24.60	3809	0	365644
24.65	3809	0	365644
24.70	3809	0	365644
24.75	3809	0	365644
24.80	3809	0	365644
24.85	3809	0	365644
24.90	3809	0	365644
24.95	3809	0	365644
25.00	3809	0	365644
25.05	3809	0	365644
25.10	3809	0	365644
