t	accent_ink	accent_maxh	blue_ink	blue_maxh	nruns
10.55	6486	11	0	0	18
10.60	13589	23	0	0	18
10.65	13589	23	0	0	18
10.70	9961	17	0	0	18
10.75	9961	17	0	0	18
10.80	9961	17	0	0	18
10.85	9961	17	0	0	18
10.90	12258	21	0	0	18
10.95	12258	21	0	0	18
11.00	14773	25	0	0	18
11.05	14773	25	0	0	18
11.10	14773	25	0	0	18
11.15	12258	21	0	0	18
11.20	12258	21	0	0	18
11.25	15958	27	0	0	18
11.30	15958	27	0	0	18
11.35	12259	21	0	0	18
11.40	12258	21	0	0	18
11.45	13590	23	0	0	18
11.50	13590	23	0	0	18
11.55	12260	21	0	0	18
11.60	12260	21	0	0	18
11.65	13590	23	0	0	18
11.70	13590	23	0	0	18
11.75	9962	17	0	0	18
11.80	9962	17	0	0	18
11.85	12258	21	0	0	18
11.90	12258	21	0	0	18
11.95	9962	17	0	0	18
12.00	9962	17	0	0	18
12.05	9962	17	0	0	18
12.10	13590	23	0	0	18
12.15	13590	23	0	0	18
12.20	13590	23	0	0	18
12.25	13590	23	0	0	18
12.30	9962	17	0	0	18
12.35	9962	17	0	0	18
12.40	13590	23	0	0	18
12.45	13590	23	0	0	18
12.50	12258	21	0	0	18
12.55	12258	21	0	0	18
12.60	13590	23	0	0	18
12.65	13590	23	0	0	18
12.70	9962	17	0	0	18
12.75	9964	17	0	0	18
12.80	12260	21	0	0	18
12.85	12259	21	0	0	18
12.90	12259	21	0	0	18
12.95	13590	23	0	0	18
13.00	13590	23	0	0	18
13.05	13590	23	0	0	18
13.10	12258	21	0	0	18
13.15	12258	21	0	0	18
13.20	12258	21	0	0	18
13.25	14774	25	0	0	18
13.30	14774	25	0	0	18
13.35	12258	21	0	0	18
13.40	12258	21	0	0	18
13.45	14774	25	0	0	18
13.50	14774	25	0	0	18
13.55	14774	25	0	0	18
13.60	14774	25	0	0	18
13.65	12258	21	0	0	18
13.70	12258	21	0	0	18
13.75	13590	23	0	0	18
13.80	13590	23	0	0	18
13.85	13590	23	0	0	18
13.90	13590	23	0	0	18
13.95	12258	21	0	0	18
14.00	12258	21	0	0	18
14.05	12258	21	0	0	18
14.10	14775	25	0	0	18
14.15	13590	23	0	0	18
14.20	13590	23	0	0	18
14.25	9962	17	0	0	18
14.30	9962	17	0	0	18
14.35	13590	23	0	0	18
14.40	13590	23	0	0	18
14.45	13590	23	0	0	18
14.50	13590	23	0	0	18
14.55	13590	23	0	0	18
14.60	12258	21	0	0	18
14.65	12258	21	0	0	18
14.70	14774	25	0	0	18
14.75	14774	25	0	0	18
14.80	13590	23	0	0	18
14.85	13590	23	0	0	18
14.90	13590	23	0	0	18
14.95	13590	23	0	0	18
15.00	9962	17	0	0	18
15.05	9962	17	0	0	18
15.10	14774	25	0	0	18
15.15	14774	25	0	0	18
15.20	9962	17	0	0	18
15.25	9962	17	0	0	18
15.30	9962	17	0	0	18
15.35	14774	25	0	0	18
15.40	14774	25	0	0	18
15.45	13591	23	0	0	18
15.50	13591	23	0	0	18
15.55	17067	29	0	0	18
15.60	13590	23	0	0	18
15.65	13590	23	0	0	18
15.70	17066	29	0	0	18
15.75	17066	29	0	0	18
15.80	17066	29	0	0	18
15.85	15958	27	0	0	18
15.90	15958	27	0	0	18
15.95	14774	25	0	0	18
16.00	14774	25	0	0	18
16.05	15958	27	0	0	18
16.10	15958	27	0	0	18
16.15	17066	29	0	0	18
16.20	17066	29	0	0	18
16.25	14774	25	0	0	18
16.30	14774	25	0	0	18
16.35	17066	29	0	0	18
16.40	17066	29	0	0	18
16.45	12258	21	0	0	18
16.50	12258	21	0	0	18
16.55	17066	29	0	0	18
16.60	17066	29	0	0	18
16.65	17066	29	0	0	18
16.70	17066	29	0	0	18
16.75	17066	29	0	0	18
16.80	14774	25	0	0	18
16.85	18178	31	0	0	18
16.90	18178	31	0	0	18
16.95	18178	31	0	0	18
17.00	17067	29	0	0	18
17.05	17067	29	0	0	18
17.10	17067	29	0	0	18
17.15	17067	29	0	0	18
17.20	15959	27	0	0	18
17.25	15959	27	0	0	18
17.30	15959	27	0	0	18
17.35	15959	27	0	0	18
17.40	17067	29	0	0	18
17.45	17067	29	0	0	18
17.50	18179	31	0	0	18
17.55	18179	31	0	0	18
17.60	18179	31	0	0	18
17.65	18179	31	0	0	18
17.70	18179	31	0	0	18
17.75	19286	33	0	0	18
17.80	19286	33	0	0	18
17.85	18178	31	0	0	18
17.90	18178	31	0	0	18
17.95	17067	29	0	0	18
18.00	17067	29	0	0	18
18.05	17067	29	0	0	18
18.10	17067	29	0	0	18
18.15	19434	33	0	0	18
18.20	19434	33	0	0	18
18.25	19287	33	0	0	18
18.30	19287	33	0	0	18
18.35	19286	33	0	0	18
18.40	19286	33	0	0	18
18.45	18178	31	0	0	18
18.50	18178	31	0	0	18
18.55	15958	27	0	0	18
18.60	15958	27	0	0	18
18.65	19286	33	0	0	18
18.70	19286	33	0	0	18
18.75	14774	25	0	0	18
18.80	14774	25	0	0	18
18.85	14774	25	0	0	18
18.90	18178	31	0	0	18
18.95	18178	31	0	0	18
19.00	17066	29	0	0	18
19.05	17066	29	0	0	18
19.10	14774	25	0	0	18
19.15	14774	25	0	0	18
19.20	18178	31	0	0	18
19.25	18178	31	0	0	18
19.30	20619	35	0	0	18
19.35	20619	35	0	0	18
19.40	20619	35	0	0	18
19.45	20619	35	0	0	18
19.50	20619	35	0	0	18
19.55	20619	35	0	0	18
19.60	19435	33	0	0	18
19.65	19434	33	0	0	18
19.70	20470	35	0	0	18
19.75	20470	35	0	0	18
19.80	17066	29	0	0	18
19.85	17066	29	0	0	18
19.90	17066	29	0	0	18
19.95	17066	29	0	0	18
20.00	17066	29	0	0	18
20.05	17066	29	0	0	18
20.10	15958	27	0	0	18
20.15	15958	27	0	0	18
20.20	15958	27	0	0	18
20.25	17066	29	0	0	18
20.30	14774	25	0	0	18
20.35	14774	25	0	0	18
20.40	14774	25	0	0	18
20.45	14774	25	0	0	18
20.50	14774	25	0	0	18
20.55	14774	25	0	0	18
20.60	14774	25	0	0	18
20.65	13590	23	0	0	18
20.70	13590	23	0	0	18
20.75	14774	25	0	0	18
20.80	14774	25	0	0	18
20.85	14774	25	0	0	18
20.90	14774	25	0	0	18
20.95	15958	27	0	0	18
21.00	15958	27	0	0	18
21.05	12259	21	0	0	18
21.10	12259	21	0	0	18
21.15	13591	23	0	0	18
21.20	13591	23	0	0	18
21.25	13590	23	0	0	18
21.30	9963	17	0	0	18
21.35	9963	17	0	0	18
21.40	15959	27	0	0	18
21.45	15959	27	0	0	18
21.50	17067	29	0	0	18
21.55	17067	29	0	0	18
21.60	13591	23	0	0	18
21.65	13591	23	0	0	18
21.70	12259	21	0	0	18
21.75	12258	21	0	0	18
21.80	19287	33	0	0	18
21.85	19287	33	0	0	18
21.90	15959	27	0	0	18
21.95	15959	27	0	0	18
22.00	13591	23	0	0	18
22.05	13590	23	0	0	18
22.10	14775	25	0	0	18
22.15	14775	25	0	0	18
22.20	13591	23	0	0	18
22.25	13591	23	0	0	18
22.30	13591	23	0	0	18
22.35	12258	21	0	0	18
22.40	12261	21	0	0	18
22.45	12261	21	0	0	18
22.50	14777	25	0	0	18
22.55	14777	25	0	0	18
22.60	14777	25	0	0	18
22.65	12261	21	0	0	18
22.70	12261	21	0	0	18
22.75	15961	27	0	0	18
22.80	15961	27	0	0	18
22.85	13593	23	0	0	18
22.90	13593	23	0	0	18
22.95	14777	25	0	0	18
23.00	14777	25	0	0	18
23.05	12261	21	0	0	18
23.10	12261	21	0	0	18
23.15	14777	25	0	0	18
23.20	14777	25	0	0	18
23.25	14777	25	0	0	18
23.30	14777	25	0	0	18
23.35	14777	25	0	0	18
23.40	13593	23	0	0	18
23.45	13593	23	0	0	18
23.50	12261	21	0	0	18
23.55	12261	21	0	0	18
23.60	13593	23	0	0	18
23.65	13593	23	0	0	18
23.70	14777	25	0	0	18
23.75	14777	25	0	0	18
23.80	13591	23	0	0	18
23.85	13591	23	0	0	18
23.90	9963	17	0	0	18
23.95	9963	17	0	0	18
24.00	12259	21	0	0	18
24.05	12259	21	0	0	18
24.10	9963	17	0	0	18
24.15	9963	17	0	0	18
24.20	12259	21	0	0	18
24.25	12259	21	0	0	18
24.30	14775	25	0	0	18
24.35	14775	25	0	0	18
24.40	13591	23	0	0	18
24.45	13591	23	0	0	18
24.50	13591	23	0	0	18
24.55	13591	23	0	0	18
24.60	12259	21	0	0	18
24.65	12259	21	0	0	18
24.70	12259	21	0	0	18
24.75	12259	21	0	0	18
24.80	12259	21	0	0	18
24.85	13591	23	0	0	18
24.90	13591	23	0	0	18
24.95	12259	21	0	0	18
25.00	12259	21	0	0	18
25.05	13591	23	0	0	18
25.10	13591	23	0	0	18
25.15	14775	25	0	0	18
25.20	14775	25	0	0	18
25.25	12258	21	0	0	18
25.30	12257	21	0	0	18
25.35	9962	17	0	0	18
25.40	9962	17	0	0	18
25.45	9962	17	0	0	18
25.50	9962	17	0	0	18
25.55	9962	17	0	0	18
25.60	12259	21	0	0	18
25.65	12259	21	0	0	18
25.70	12259	21	0	0	18
25.75	12259	21	0	0	18
25.80	13591	23	0	0	18
25.85	13591	23	0	0	18
25.90	9963	17	0	0	18
25.95	9963	17	0	0	18
26.00	12259	21	0	0	18
26.05	12259	21	0	0	18
26.10	9963	17	0	0	18
26.15	9963	17	0	0	18
26.20	12259	21	0	0	18
26.25	12259	21	0	0	18
26.30	13591	23	0	0	18
26.35	13591	23	0	0	18
26.40	12259	21	0	0	18
26.45	12259	21	0	0	18
26.50	9963	17	0	0	18
26.55	9964	17	0	0	18
26.60	12260	21	0	0	18
26.65	12260	21	0	0	18
26.70	12260	21	0	0	18
26.75	9964	17	0	0	18
26.80	9964	17	0	0	18
26.85	13591	23	0	0	18
26.90	14775	25	0	0	18
26.95	14775	25	0	0	18
27.00	14775	25	0	0	18
27.05	13591	23	0	0	18
27.10	13591	23	0	0	18
27.15	12259	21	0	0	18
27.20	12259	21	0	0	18
27.25	13591	23	0	0	18
27.30	13591	23	0	0	18
27.35	12260	21	0	0	18
27.40	12260	21	0	0	18
27.45	13591	23	0	0	18
27.50	13591	23	0	0	18
27.55	12260	21	0	0	18
27.60	12260	21	0	0	18
27.65	12260	21	0	0	18
27.70	12260	21	0	0	18
27.75	14775	25	0	0	18
27.80	14775	25	0	0	18
27.85	12259	21	0	0	18
27.90	12262	21	0	0	18
27.95	12262	21	0	0	18
28.00	19435	33	0	0	18
28.05	13590	23	0	0	18
28.10	13591	23	0	0	18
28.15	13590	23	0	0	18
28.20	14775	25	0	0	18
28.25	14775	25	0	0	18
28.30	14775	25	0	0	18
28.35	14775	25	0	0	18
28.40	15959	27	0	0	18
28.45	15959	27	0	0	18
28.50	13591	23	0	0	18
28.55	13591	23	0	0	18
28.60	15959	27	0	0	18
28.65	15959	27	0	0	18
28.70	14775	25	0	0	18
28.75	14775	25	0	0	18
28.80	13591	23	0	0	18
28.85	13591	23	0	0	18
28.90	15959	27	0	0	18
28.95	15959	27	0	0	18
29.00	13591	23	0	0	18
29.05	13591	23	0	0	18
29.10	18179	31	0	0	18
29.15	18179	31	0	0	18
29.20	15959	27	0	0	18
29.25	15959	27	0	0	18
29.30	15958	27	0	0	18
29.35	15958	27	0	0	18
29.40	15958	27	0	0	18
29.45	19286	33	0	0	18
29.50	19286	33	0	0	18
29.55	15958	27	0	0	18
29.60	18178	31	0	0	18
29.65	18178	31	0	0	18
29.70	18178	31	0	0	18
29.75	18178	31	0	0	18
29.80	18178	31	0	0	18
29.85	14774	25	0	0	18
29.90	14774	25	0	0	18
29.95	18178	31	0	0	18
30.00	18178	31	0	0	18
